"Tarih","PM10","SO2","NO2","O3"
"2017/10/23","30.72419","3.215772","4.90894","88.01354"
"2017/10/23","22.03258","3.42293","5.464444","86.29012"
"2017/10/23","31.50991","3.627705","3.805026","88.25723"
"2017/10/23","43","3.821755","5.839633","80.39938"
"2017/10/23","43.92786","3.853341","10.43096","60.68026"
"2017/10/23","50.65205","3.532591","10.70102","38.35058"
"2017/10/23","44.63649","3.674605","15.65556","31.12541"
"2017/10/23","17.72238","3.426944","15.02835","24.60922"
"2017/10/23","8.110613","3.195172","6.059395","42.62774"
"2017/10/23","9.233644","3.187433","2.554832","56.36098"
"2017/10/23","11.11544","3.232525","2.760276","56.88674"
"2017/10/23","12","3.268877","3.348858","53.08193"
"2017/10/23","13.84424","3.296094","2.729706","51.84363"
"2017/10/23","27.88474","3.220828","3.560609","50.14754"
"2017/10/23","27.4878","3.25718","5.365681","46.29174"
"2017/10/23","31.45892","3.285986","8.056455","33.16204"
"2017/10/22","35.34468","3.258386","11.82901","18.51737"
"2017/10/22","38","3.257797","9.084406","18.70178"
"2017/10/22","37.88527","3.225828","9.593712","21.35734"
"2017/10/22","36.88511","3.38373","13.10845","19.74552"
"2017/10/22","37.03404","3.111442","14.10992","27.22214"
"2017/10/22","42.82011","3.036572","9.957175","38.86215"
"2017/10/22","25.31915","2.906489","8.059168","58.30474"
"2017/10/22","20","2.828839","4.007069","76.14989"
"2017/10/22","20.11457","2.843344","3.491686","77.92278"
"2017/10/22","21.45827","3.073939","4.114898","74.6097"
"2017/10/22","26.02128","3.128961","6.157712","69.63437"
"2017/10/22","33.31587","3.21298","10.00209","55.13076"
"2017/10/22","26.95186","3.420536","14.08681","25.34595"
"2017/10/22","18.53344","3.296014","8.853724","24.34058"
"2017/10/22","14.53894","3.1417","7.331727","25.32383"
"2017/10/22","11.11664","3.167328","7.63577","25.38123"
"2017/10/22","12.46034","3.109539","4.147388","32.15294"
"2017/10/22","15.51977","3.045792","2.460505","36.49536"
"2017/10/22","12.11582","3.035272","2.559362","33.86741"
"2017/10/22","13.11598","3.021972","2.488616","36.35572"
"2017/10/22","15.16147","3.055941","3.324739","30.75778"
"2017/10/22","24","3.162603","3.568585","33.86869"
"2017/10/22","24.9305","3.395183","9.421818","18.75505"
"2017/10/22","31.42008","3.559442","11.40119","15.46187"
"2017/10/21","28.50565","3.880602","16.86283","2.906889"
"2017/10/21","39.76738","3.42718","12.08969","12.91994"
